Bezeichnung,Hersteller,Leistung (kW),Jahresleistung (grün=tatsächl. Werte),Rotor-Durchmesser (m),Nabenhöhe (m),Errichtungsjahr,Alter (Jahre),Rechtswert,Hochwert,Bürgerwind,Kleinwind,Column2,Column3,Column 16,Column 17
Sa1,Vestas,2000,,80,100,2003,11,3402954,5787110,,,,,52.20901096769521,7.579182794113002
Sa2,Vestas,2000,,80,100,2003,11,3403001,5786826,,,,,52.20646769237164,7.579951503907805
Sa3,Vestas,2000,,80,100,2003,11,3402849,5786473,,,,,52.20326945424535,7.577829979246414
Sa4,Vestas,850,,52,74,2001,13,3402650,5784075,,,,,52.18168991145737,7.575608928092476
Sa5,Enercon,3050,,101,149,2013,1,3405382,5786524,Ja,,,,52.20416827721284,7.614855205927113
Sa6,Enercon,3050,,101,149,2013,1,3405736,5786730,Ja,,,,52.206079735117754,7.619974452158401
Sa7,Enercon,3050,,101,149,2013,1,3405539,5786240,Ja,,,,52.201643612968965,7.61723024564148
Sa8,Enercon,3050,,101,149,2013,1,3405883,5786461,Ja,,,,52.2036880273887,7.622198909468184
Sa9,Enercon,3050,,101,149,2013,1,3405647,5785936,Ja,,,,52.198930824094354,7.618894132568495
Sa10,Enercon,3050,,101,149,2013,1,3406121,5786029,Ja,,,,52.199847303947614,7.625798925293333
Sa11,Enercon,3050,,101,149,2013,1,3406386,5785852,Ja,,,,52.1983021055422,7.629722609493877
Sa12,REpower,2000,,82,80,2006,8,3408611,5786200,,,,,52.20180209215584,7.662161407277652
Sa13,REpower,2000,,82,80,2006,8,3408306,5785859,,,,,52.198687680901344,7.657793825177808
Sa14,REpower,2000,,82,80,2006,8,3408684,5785902,,,,,52.19913676283335,7.663309197216559
Sa15,REpower,2000,,82,80,2006,8,3408402,5785513,,,,,52.19559495245055,7.659291045027209
Sa16,Tacke,80,,21,40,1993,21,3408656,5783275,,,,,52.17552938235888,7.663607680134774
Sa17,Tacke,60,,17.5,40,1993,21,3410781,5781046,,,,,52.15584992847541,7.695248715680687
T1,Lagerwey,75,,15.6,31,1989,25,3419800,5791981,,Ja,,,52.255486979556885,7.824411101018309
T2,NEG Micon,1000,,60,80,2002,12,3421040,5792239,,,,,52.257984541102196,7.842505904893674
T3,Enercon,80,,18,37,1991,23,3424392,5788349,,,,,52.22350247744452,7.892457408583342
W1,Vestas,2000,,80,100,2003,11,3381974,5792320,,Ja,,,52.251719185015254,7.2705788454118085
