vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,kinder,18_24,senioren
Im Dornbusch,63,di,9/13/2016,16:40,5,,m,,,,,2,,,,,,,2,,,,21,os,21,coe,,681,,14,,,,,,37,,,,,
Willy-Brandt-Weg,Albersloher Weg,di,9/13/2016,10:25,5,,m,,,,,2,,,,,,,1,1,,,44,bn,21,re,,231,,14,,,,,,29,,,,,
Westfalenstraße,140,di,9/13/2016,9:45,5,,o,,,,,2,,,,,,,1,1,,,46,PL,21,ms,,501,,14,,,,,,30,,,,,
Moltkestraße,40a,di,9/13/2016,17:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,13,14,,,,,43,,,,,
Geiststraße,66,di,9/13/2016,13:50,5,,m,,,,,3,,,,,,,3,,,,21,ms,21,hh,,623,,14,,,,,,82,,,,,
Wiener Straße,38,di,9/13/2016,11:00,5,,m,,,,,2,,,,,,,1,1,,,40,gt,21,oe,,502,,14,,,,,,52,,,,,
Hammer Straße,89,di,9/13/2016,7:45,5,,m,,,,,3,,,,,,,3,,,,21,waf,21,coe,,611,,14,,,,,,29,,,,,
Robert-Bosch-Straße,Industrieweg,di,9/13/2016,14:40,5,,m,,,,,2,,,,,,,2,,,,21,st,21,ms,,601,,13,14,,,,,21,,,,,
Albersloher Weg,Höhe Bauhaus,di,9/13/2016,15:40,5,,m,,,,,2,,,,,,,1,1,,,21,wes,46,ms,,611,,13,14,,,,,19,,,,,
Kärntner Straße,50,di,9/13/2016,17:48,5,,o,,,,,2,,,,,,,1,,1,,33,ms,21,st,,681,,14,,,,,,42,,,,,
Hammer Straße,36,di,9/13/2016,12:55,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,ms,,711,,36,,,,,,?,,,,,
Cheruskerring,83,mi,9/14/2016,16:20,5,,m,,,,,2,,,,,,,2,,,,21,bs,21,ms,,601,,13,14,,,,,32,,,,,
Körnerstraße,51,mi,9/14/2016,10:45,5,,o,,,,,2,,,,,,,1,1,,,44,ms,21,b,,501,,14,,,,,,21,,,,,
Orleans-Ring,100m östl. Coesfelder Kreuz,mi,9/14/2016,7:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,,,33,,,,,
