vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,t,sv,lv,anzahl_beteiligte,fg,rf,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,2,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,kinder,18_24,senioren
Robert-Bosch-Straße,2 / Parkplatz Media-Markt,Do,1/7/2010,15:15,5,X,,,,2,,,,,,1,,,1,92,21,,703,,49,,,0,1,F,,,
Grevener Straße,69 / Parkplatz Saturn,Do,1/7/2010,17:30,5,X,,,,2,,,,,,2,,,,21,21,,703,,14,,,2/3/2016,2,23,,,
Albersloher Weg,Münnichweg,Fr,1/8/2010,7:18,5,,,,,2,,,,,,2,,,,21,21,,299,,35,72,,0,2,40,,,
Rishon-le-Zion-Ring,Domagkstraße,Fr,1/8/2010,7:30,4,,,,,2,,,,,,2,,,,21,21,,631,,26,72,,0,2,83,,,
Sankt-Mauritz-Freiheit,3 / Parkplatz,Fr,1/8/2010,7:45,5,X,,,,2,,,,,,1,,,1,92,21,,751,,0,72,86,2,2,45,,,
Frauenstraße,8,Fr,1/8/2010,8:30,5,,,,,2,,1,,,,,1,,,41,71,,591,,14,72,,0,2,19,,,
Ramertsweg,Höhe Kleingärten,Fr,1/8/2010,8:35,5,,,,,2,,,,,,2,,,,21,21,,501,,14,72,,0,2,35,,,
Ludgeriplatz,Moltkestraße,Fr,1/8/2010,9:00,5,X,,,,2,,,,,,1,,1,,33,21,,711,,36,72,,2,2,49,,,
Cheruskerring,Kanalstraße,Fr,1/8/2010,9:05,5,,,,,2,,,,,,2,,,,21,21,,703,,14,72,,0,2,62,,,
Albert-Schweitzer-Straße,Roxeler Straße,Fr,1/8/2010,10:15,5,,,,,2,,,,,,2,,,,21,21,,751,,0,,86,2,1,46,,,
Lublinring,Kanalstraße,Fr,1/8/2010,10:35,5,,,,,2,,,,,,2,,,,21,21,,711,,36,72,,0,2,46,,,
Weseler Straße,531,Fr,1/8/2010,10:55,5,,,,,2,,,,,,1,1,,,21,41,,101,,13,72,,0,2,70,,,
Schmeddingstraße,113,Fr,1/8/2010,11:00,3,,,,1,2,,1,,,,1,,,,21,71,,711,,36,,,0,1,56,,,
