Name  /  Date: 2016_11_01;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03140_FV4_L (MQ131);10;2;1;2;3;3;8;7;17;29;33;36;34;34;41;27;35;34;33;20;21;14;7;6;
MQ_03160_FV1_G (MQ132);131;86;68;61;41;85;91;114;164;278;388;497;560;640;730;646;625;740;659;446;337;249;142;67;
MQ_03160_FV1_L (MQ133);42;38;22;14;17;20;29;35;31;63;94;124;158;155;162;154;136;185;141;118;97;58;55;32;
MQ_03160_FV1_R (MQ134);11;8;7;6;4;8;8;9;14;24;30;35;39;42;50;47;45;53;47;33;27;19;13;6;
MQ_03160_FV2_G (MQ135);67;54;55;40;33;59;59;40;68;140;162;176;170;202;238;216;209;250;191;146;110;85;58;24;
MQ_03160_FV2_L (MQ136);1;4;2;3;0;1;2;1;2;6;7;10;20;18;13;11;11;13;13;12;2;7;2;1;
MQ_08040_FV3_L (MQ137);55;37;17;11;31;24;45;68;84;207;263;256;282;270;330;269;218;263;232;172;121;82;53;31;
MQ_03160_FV3_G (MQ138);98;68;68;44;45;72;87;96;133;270;390;418;468;483;560;512;483;486;413;338;265;178;152;58;
MQ_08040_FV3_R (MQ139);19;3;6;2;4;8;12;7;9;28;51;61;58;74;77;60;50;47;31;24;28;21;9;9;
MQ_03070_FV1_L (MQ14);7;4;5;2;4;1;2;1;1;8;10;7;16;14;15;21;17;27;15;11;14;11;3;2;
MQ_08040_FV3_G (MQ140);113;71;79;75;75;67;72;58;102;143;199;228;261;283;340;314;285;325;272;218;155;87;59;38;
MQ_03160_FV3_L (MQ141);5;4;2;0;0;1;1;2;5;6;7;14;13;9;9;16;13;13;13;9;12;6;0;0;
MQ_03160_FV3_R (MQ142);0;0;0;0;0;0;0;0;1;1;2;2;2;2;3;3;3;3;2;2;1;1;1;0;
MQ_03160_FV4_G (MQ143);18;21;20;17;17;21;26;25;25;33;53;63;72;76;106;82;90;76;81;60;58;42;38;20;
MQ_03160_FV4_L (MQ144);77;79;87;69;62;64;51;65;77;110;177;164;203;218;241;202;219;245;213;186;188;123;97;50;
MQ_03171_FV1_G (MQ145);100;78;49;47;27;62;73;89;140;251;347;459;512;566;627;542;548;586;553;384;295;209;109;61;
MQ_08040_FV4_R (MQ146);59;26;24;23;26;21;37;40;31;93;136;209;239;268;318;316;260;289;277;182;165;113;76;34;
MQ_08040_FV4_L (MQ147);40;23;22;22;27;34;32;18;24;34;41;54;67;54;78;74;92;99;110;84;46;28;32;9;
MQ_08040_FV6_R (MQ148);14;3;12;5;2;6;11;7;11;20;27;32;30;30;37;38;25;46;31;20;15;14;9;7;
MQ_03171_FV1_L (MQ149);0;1;1;0;1;1;0;0;1;3;3;8;7;4;1;6;5;8;9;5;5;3;0;3;
MQ_03290_FV4_G (MQ15);;;;;;;;;;;;;186;177;149;104;76;54;39;
MQ_03171_FV3_G (MQ151);98;63;69;44;46;71;86;85;120;247;375;398;477;480;581;511;488;486;406;348;269;191;145;56;
MQ_03171_FV3_R (MQ152);0;0;0;0;0;0;1;0;1;1;2;2;3;2;3;3;2;3;2;2;1;1;1;0;
MQ_03180_FV1_G (MQ153);82;59;59;52;42;51;69;63;77;186;227;261;304;306;382;308;287;322;291;243;208;149;113;51;
MQ_03180_FV1_L (MQ154);5;4;3;1;3;1;4;2;7;13;14;21;34;17;25;24;30;26;30;33;18;16;11;5;
MQ_03180_FV1_R (MQ155);7;5;5;5;4;3;8;6;8;13;17;19;21;22;28;22;21;23;20;17;16;10;7;5;
