Name  /  Date: 2016_11_24;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03180_FV4_G (MQ162);8;7;2;1;3;16;80;212;181;131;117;118;103;105;108;122;135;139;112;64;47;28;23;17;
MQ_08041_FV1_G (MQ163);65;41;36;40;37;127;275;447;507;456;410;515;533;506;528;581;614;585;529;390;405;292;354;140;
MQ_03180_FV4_L (MQ164);3;5;3;1;3;6;41;44;63;61;42;54;45;53;53;47;68;54;53;44;25;24;21;9;
MQ_08041_FV1_L (MQ165);4;1;4;4;7;6;11;15;22;28;43;52;53;47;52;35;44;36;22;32;15;16;11;7;
MQ_08041_FV1_R (MQ166);4;2;2;1;2;4;22;20;18;17;24;15;19;33;25;21;19;16;15;12;16;16;7;3;
MQ_03180_FV4_R (MQ167);11;4;1;1;9;56;218;358;374;313;221;228;232;210;256;290;300;300;255;178;102;75;50;42;
MQ_03021_FV1_G (MQ168);55;20;15;23;35;175;488;943;1031;799;614;604;653;702;709;806;912;835;672;487;313;232;167;96;
MQ_08041_FV2_L (MQ169);6;4;3;6;6;8;15;36;57;78;108;136;128;125;152;128;143;118;122;74;43;20;10;5;
MQ_03070_FV1_R (MQ17);11;4;1;6;11;42;84;129;122;154;135;140;133;142;176;143;152;154;128;103;70;48;41;11;
MQ_05010_FV1_L (MQ170);19;18;14;10;41;100;333;585;572;408;364;342;344;331;374;432;432;384;335;243;168;108;85;48;
MQ_05010_FV1_R (MQ171);0;0;1;0;5;16;106;200;228;54;31;29;41;38;42;42;70;41;20;8;8;1;1;3;
MQ_08041_FV3_G (MQ172);38;26;19;19;46;178;647;801;735;661;554;525;502;497;552;573;552;574;490;442;320;228;176;97;
MQ_05010_FV2_G (MQ173);29;17;10;11;21;90;547;504;486;369;276;283;277;248;265;340;318;392;301;194;143;112;97;53;
MQ_08041_FV3_L (MQ174);1;0;1;0;1;14;45;35;23;23;11;23;27;20;22;17;14;17;18;12;7;1;0;0;
MQ_08041_FV3_R (MQ175);3;2;0;3;15;39;72;80;113;109;138;153;135;120;135;132;114;117;91;62;23;15;12;3;
MQ_05010_FV2_R (MQ176);29;16;9;7;17;62;138;208;215;245;222;302;273;294;306;360;391;393;352;275;207;147;129;56;
MQ_03021_FV3_G (MQ177);47;26;18;13;45;134;506;1095;1059;696;660;682;751;870;940;1119;1246;1025;782;539;378;272;211;99;
MQ_08041_FV4_L (MQ178);0;0;0;0;1;3;2;3;9;8;8;13;9;9;12;11;8;5;5;3;3;1;3;6;
MQ_05010_FV3_G (MQ179);2;8;6;2;14;22;58;169;205;144;190;222;364;357;347;781;609;442;277;93;70;30;16;9;
MQ_03070_FV2_G (MQ18);25;14;13;6;9;31;87;165;207;131;147;169;206;165;194;213;283;250;223;176;127;77;85;48;
MQ_05010_FV3_L (MQ181);0;0;1;1;1;8;10;17;30;12;30;41;70;58;45;140;98;96;57;27;19;7;6;3;
MQ_16130_FV1_G (MQ182);1;1;2;1;1;13;36;67;47;53;32;30;36;41;47;71;69;45;44;24;15;9;5;2;
MQ_16130_FV1_L (MQ184);5;3;0;1;3;4;46;82;99;91;70;78;76;90;78;75;76;83;61;59;36;10;15;8;
MQ_16130_FV1_R (MQ185);0;1;0;0;0;1;4;18;18;20;17;20;25;31;17;25;26;35;18;18;9;3;2;2;
MQ_16130_FV2_G (MQ186);37;15;9;9;10;46;114;241;291;239;263;277;289;326;351;362;424;406;357;311;221;140;161;67;
MQ_16130_FV2_L (MQ187);21;9;15;14;25;93;172;273;272;275;264;267;281;237;282;264;284;257;219;176;125;80;65;20;
MQ_16130_FV2_R (MQ188);3;3;1;3;2;5;32;66;96;73;55;61;60;51;44;49;45;41;28;24;25;13;5;8;
MQ_16130_FV3_G (MQ189);4;1;2;1;1;6;72;99;111;52;57;50;40;45;69;93;88;51;45;23;26;17;8;4;
MQ_03290_FV5_R (MQ19);8;3;5;3;7;9;17;102;69;88;55;52;53;53;73;87;97;99;102;42;44;38;37;21;
MQ_16130_FV3_L (MQ190);0;0;0;0;0;1;3;12;15;14;22;15;18;27;18;23;18;12;11;6;4;2;4;3;
MQ_16130_FV3_R (MQ191);18;11;4;5;9;40;145;277;243;270;285;297;311;304;311;342;315;267;264;216;140;97;70;16;
MQ_16130_FV4_G (MQ192);19;9;19;10;17;70;232;499;503;442;327;315;300;320;345;366;364;389;295;239;171;100;98;36;
MQ_16130_FV4_L (MQ193);1;1;0;0;0;2;6;22;40;23;12;14;11;25;24;24;27;22;12;11;5;3;2;2;
MQ_16130_FV4_R (MQ194);0;0;0;0;2;5;11;14;34;37;33;17;15;18;18;14;7;10;6;7;1;2;4;2;
MQ_03040_FV1_G (MQ195);34;15;13;8;33;113;453;991;912;598;576;632;653;749;822;998;1059;905;706;482;332;224;177;78;
MQ_03040_FV1_L (MQ196);1;1;0;0;2;0;30;58;69;51;39;15;24;40;26;23;27;19;10;4;5;1;1;1;
MQ_03040_FV1_R (MQ197);0;0;0;0;0;0;9;19;22;11;6;6;4;8;6;7;10;8;9;2;0;2;0;0;
MQ_03040_FV2_G (MQ198);1;0;0;1;1;2;6;18;22;21;24;20;34;31;23;49;60;37;27;13;13;6;6;4;
MQ_03040_FV2_L (MQ199);1;0;0;1;1;2;6;18;22;21;24;20;34;31;23;49;60;37;27;13;13;6;6;4;
MQ_03070_FV1_G (MQ2);25;8;5;4;22;94;368;699;679;457;367;349;381;442;454;524;474;502;376;270;186;113;93;45;
MQ_03070_FV2_L (MQ20);2;3;2;1;0;9;35;81;63;47;56;58;50;76;61;72;128;69;51;38;18;14;9;9;
MQ_08054_FV1_R (MQ200);3;1;5;1;5;33;171;265;268;123;101;85;69;108;76;73;78;98;38;19;18;6;5;1;
MQ_08054_FV1_G (MQ201);75;36;29;24;28;133;375;686;752;574;684;760;875;894;1002;1096;1284;1232;1086;765;581;391;370;157;
MQ_03040_FV2_R (MQ202);1;0;0;1;1;2;6;18;22;21;24;20;34;31;23;49;60;37;27;13;13;6;6;4;
MQ_08054_FV2_R (MQ203);0;2;1;0;0;2;5;8;40;21;20;30;28;28;39;50;40;36;29;9;9;9;0;1;
MQ_08054_FV2_L (MQ204);3;1;0;1;0;6;4;39;27;51;70;76;92;96;135;151;169;169;67;40;36;42;5;1;
MQ_03040_FV3_G (MQ205);43;14;12;15;32;141;451;915;975;717;537;571;595;643;702;727;898;804;610;435;314;226;162;82;
MQ_03040_FV3_L (MQ206);2;0;0;0;0;0;13;21;17;7;5;4;8;11;12;5;6;10;9;3;4;6;2;1;
MQ_03040_FV3_R (MQ207);2;1;1;1;2;5;20;39;40;33;24;25;27;28;33;33;23;31;29;20;15;10;9;5;
MQ_08054_FV3_G (MQ208);36;36;20;38;71;279;873;1528;1289;953;799;782;784;755;881;914;933;786;763;531;312;232;182;106;
MQ_08054_FV3_L (MQ209);0;0;0;1;0;7;30;57;80;24;19;13;16;22;17;9;22;9;6;3;0;4;0;0;
MQ_08060_FV1_R (MQ210);4;4;1;0;0;7;20;50;59;60;71;77;67;51;59;54;49;56;36;30;22;14;15;4;
MQ_03040_FV4_G (MQ211);1;0;0;1;1;0;2;15;12;7;9;8;11;7;12;18;11;10;8;6;2;2;1;1;
MQ_08060_FV1_G (MQ212);65;28;27;22;18;90;275;459;488;398;523;583;680;729;827;938;1063;1075;1058;683;516;370;334;150;
MQ_03040_FV4_L (MQ213);1;0;0;1;1;0;2;15;12;7;9;8;11;7;12;18;11;10;8;6;2;2;1;1;
MQ_08060_FV1_L (MQ214);6;2;2;0;3;13;30;121;138;88;78;93;121;119;119;126;154;130;90;45;40;18;13;6;
MQ_03040_FV4_R (MQ215);1;0;0;1;1;0;2;15;12;7;9;8;11;7;12;18;11;10;8;6;2;2;1;1;
MQ_03050_FV1_G (MQ216);38;19;18;9;33;135;559;1092;1037;701;639;646;666;783;811;922;963;838;644;451;324;206;165;70;
MQ_03050_FV1_L (MQ217);6;4;2;0;5;17;128;319;326;231;175;157;174;205;183;194;198;188;152;112;76;33;22;12;
MQ_02010_FV3_L (MQ218);1;1;1;1;1;2;6;13;14;9;10;9;11;12;13;14;14;15;13;12;8;5;4;2;
