Name  /  Date: 2016_05_20;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03160_FV4_G (MQ143);148;158;137;130;174;181;200;171;152;143;156;157;110;73;69;34;
MQ_03160_FV4_L (MQ144);470;320;324;372;416;434;360;432;421;390;410;386;272;197;165;103;
MQ_03171_FV1_G (MQ145);441;629;644;639;750;864;920;852;778;796;755;574;417;286;232;169;
MQ_08040_FV4_R (MQ146);327;464;450;447;620;650;720;617;614;511;448;327;242;165;108;88;
MQ_08040_FV4_L (MQ147);169;193;174;172;168;237;80;172;233;207;179;151;92;55;39;29;
MQ_08040_FV6_R (MQ148);60;32;36;41;40;30;40;38;44;44;44;34;28;14;15;10;
MQ_03171_FV1_L (MQ149);;10;9;10;11;19;;16;12;13;13;5;7;4;1;0;
MQ_03290_FV4_G (MQ15);342;208;204;213;231;221;150;223;220;209;234;205;153;143;129;84;
MQ_03171_FV3_G (MQ151);625;589;596;652;691;785;637;767;681;717;661;483;342;280;228;178;
MQ_03171_FV3_R (MQ152);3;3;3;3;3;4;3;4;3;4;3;3;2;2;1;1;
MQ_03180_FV1_G (MQ153);341;400;422;463;504;575;668;545;497;539;489;325;255;212;172;138;
MQ_03180_FV1_L (MQ154);;49;64;71;68;58;120;68;65;57;50;43;25;27;20;12;
MQ_03180_FV1_R (MQ155);33;26;29;31;32;41;52;37;36;41;35;24;20;17;14;11;
MQ_03180_FV2_G (MQ156);;135;158;162;160;167;70;144;178;172;161;103;77;58;47;38;
MQ_03180_FV2_L (MQ157);;;;;;;;;;;;;;;;;
MQ_03180_FV2_R (MQ158);;19;23;23;23;24;10;21;26;25;23;15;11;8;7;6;
MQ_03180_FV3_G (MQ159);245;414;419;366;432;504;470;487;459;460;448;352;266;167;139;90;
MQ_03290_FV4_L (MQ16);145;239;241;235;266;246;200;225;230;222;231;216;139;95;109;81;
MQ_03180_FV3_L (MQ160);294;203;206;275;318;356;440;351;333;346;308;223;141;101;93;67;
MQ_03180_FV3_R (MQ161);3;10;10;9;10;13;10;14;12;12;11;9;6;4;3;2;
MQ_03180_FV4_G (MQ162);369;121;97;100;99;138;0;132;117;126;128;76;53;33;31;26;
MQ_08041_FV1_G (MQ163);929;414;425;478;536;570;720;524;472;465;383;375;305;267;315;229;
MQ_03180_FV4_L (MQ164);40;51;51;47;47;64;80;47;58;53;56;53;37;30;19;14;
MQ_08041_FV1_L (MQ165);149;41;45;45;24;56;53;49;57;44;44;29;12;10;8;0;
MQ_08041_FV1_R (MQ166);;19;24;22;4;18;;24;25;18;17;17;11;17;17;16;
MQ_03180_FV4_R (MQ167);-256;246;223;229;229;287;320;264;260;251;239;177;115;97;78;63;
MQ_03021_FV1_G (MQ168);536;786;623;619;650;769;750;816;718;675;621;421;331;190;172;132;
MQ_08041_FV2_L (MQ169);20;93;113;134;128;148;280;180;169;174;133;104;56;18;15;10;
MQ_03070_FV1_R (MQ17);200;139;150;132;142;141;200;147;141;135;117;104;62;43;40;27;
