Name  /  Date: 2015_05_17;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_06170_FV2_L (MQ454);39;51;23;12;
MQ_08130_FV2_R (MQ455);3;3;5;2;
MQ_08130_FV2_L (MQ456);8;10;14;6;
MQ_01210_FV5_L (MQ457);60;38;26;15;
MQ_01160_FV3_G (MQ458);312;275;222;239;
MQ_01210_FV2_L (MQ459);27;24;14;8;
MQ_08030_FV1_R (MQ46);141;115;113;50;
MQ_01210_FV2_G (MQ460);12;14;8;6;
MQ_01210_FV2_R (MQ461);40;45;26;21;
MQ_01210_FV32_G (MQ462);363;339;249;134;
MQ_01210_FV12_G (MQ463);300;208;134;77;
MQ_02021_FV2_G (MQ464);;;;;
MQ_02021_FV1_G (MQ465);;;;;
MQ_02020_FV4_G (MQ466);323;235;158;84;
MQ_02020_FV3_G (MQ467);108;144;100;49;
MQ_02020_FV2_G (MQ468);287;274;166;106;
MQ_02020_FV1_G (MQ469);268;160;104;70;
MQ_08030_FV1_G (MQ47);207;226;201;125;
MQ_01100_FV3_G (MQ470);;
MQ_01100_FV1_G (MQ471);;
MQ_01051_FV1_G (MQ472);291;213;108;75;
MQ_01051_FV3_G (MQ473);623;380;253;144;
MQ_01060_FV1_G (MQ474);202;218;176;73;
MQ_01061_FV1_G (MQ475);;;;;
MQ_01070_FV1_G (MQ476);208;186;154;81;
MQ_01060_FV3_G (MQ477);210;205;146;75;
MQ_01061_FV3_G (MQ478);178;198;141;74;
MQ_01070_FV3_R (MQ479);142;228;140;71;
MQ_03290_FV4_GRL (MQ48);63;105;102;64;
MQ_01070_FV3_G (MQ480);201;213;155;80;
MQ_01080_FV1_G (MQ481);364;322;235;144;
MQ_01160_FV1_G (MQ482);410;423;270;143;
MQ_01080_FV3_G (MQ483);327;366;240;137;
MQ_01090_FV1_G (MQ484);386;330;228;128;
MQ_01090_FV2_R (MQ485);215;152;130;75;
MQ_01090_FV31_G (MQ486);386;373;241;151;
MQ_01110_FV1_G (MQ487);;
MQ_01110_FV3_G (MQ488);;
MQ_01120_FV3_G (MQ489);416;369;255;146;
MQ_03181_FV3_G (MQ49);208;194;102;65;
MQ_01120_FV1_G (MQ490);388;373;239;120;
MQ_01190_FV3_G (MQ491);316;257;172;95;
MQ_01140_FV1_G (MQ492);352;346;224;121;
MQ_01140_FV2_L (MQ493);71;81;47;23;
MQ_01190_FV3_L (MQ494);88;87;58;37;
MQ_01130_FV1_G (MQ495);400;390;259;145;
MQ_01050_FV4_L (MQ496);66;35;26;24;
MQ_01025_FV3_G (MQ497);389;366;277;147;
MQ_01025_FV2_L (MQ498);36;87;47;21;
MQ_01025_FV1_G (MQ499);636;416;320;139;
MQ_08050_FV1_G (MQ5);167;256;196;117;
MQ_03181_FV3_L (MQ50);60;21;20;9;
MQ_01050_FV1_G (MQ500);301;207;169;88;
MQ_01050_FV1_L (MQ501);346;208;170;78;
MQ_01050_FV2_G (MQ502);211;190;119;57;
MQ_01050_FV3_G (MQ503);177;204;140;62;
MQ_01050_FV4_G (MQ504);211;157;76;53;
MQ_01040_FV3_G (MQ505);477;540;674;;
MQ_01040_FV1_G (MQ506);601;527;799;890;
MQ_01190_FV2_R (MQ507);80;96;54;28;
MQ_01190_FV1_G (MQ508);277;254;152;91;
MQ_01030_FV3_G (MQ509);254;337;251;150;
MQ_03181_FV1_G (MQ51);123;123;81;46;
MQ_01030_FV1_G (MQ510);601;396;326;150;
MQ_01190_FV2_L (MQ511);80;55;28;19;
MQ_01140_FV31_G (MQ512);386;352;246;148;
MQ_01240_FV3_G (MQ513);238;274;204;105;
MQ_01240_FV1_G (MQ514);338;204;111;44;
MQ_01240_FV2_G (MQ515);119;124;90;56;
MQ_01230_FV3_G (MQ516);;;;;
MQ_01230_FV1_G (MQ517);3607;3601;3600;3602;
MQ_01220_FV31_G (MQ518);332;342;238;130;
MQ_01220_FV1_G (MQ519);377;308;194;103;
MQ_06160_FV2_L (MQ52);143;162;87;39;
MQ_01195_FV1_G (MQ520);434;378;216;119;
MQ_01195_FV3_G (MQ521);393;343;220;122;
MQ_01200_FV3_G (MQ522);325;346;229;119;
MQ_01170_FV3_G (MQ523);279;257;186;103;
MQ_01170_FV1_G (MQ524);189;301;182;95;
MQ_01161_FV2_G (MQ525);414;371;285;131;
MQ_01150_FV3_G (MQ526);503;471;306;179;
MQ_01150_FV1_G (MQ527);408;433;271;141;
MQ_01130_FV3_G (MQ528);450;389;265;157;
MQ_01025_FV1_R (MQ529);86;99;78;35;
MQ_08030_FV2_L (MQ53);160;110;131;51;
MQ_01025_FV2_R (MQ530);33;27;20;10;
MQ_01025_FV3_L (MQ531);74;46;26;24;
MQ_01030_FV1_R (MQ532);15;11;8;4;
MQ_01030_FV2_L (MQ533);66;55;47;21;
MQ_01030_FV3_L (MQ534);73;61;31;23;
MQ_01030_FV2_R (MQ535);46;47;31;21;
MQ_01050_FV1_R (MQ536);100;59;34;12;
MQ_01050_FV2_L (MQ537);;11;5;3;
MQ_01050_FV2_R (MQ538);167;155;99;55;
MQ_01050_FV3_L (MQ539);30;16;12;8;
MQ_03070_FV3_G (MQ54);;
MQ_01050_FV3_R (MQ540);;1;0;0;
MQ_01050_FV4_R (MQ541);11;9;5;4;
MQ_01051_FV1_R (MQ542);;;;;
MQ_01060_FV1_R (MQ543);8;8;6;3;
MQ_01060_FV2_L (MQ544);;;;;
MQ_01060_FV2_R (MQ545);;;;;
MQ_01060_FV3_L (MQ546);2;3;2;1;
MQ_01061_FV1_L (MQ547);12;15;11;4;
MQ_01061_FV2_L (MQ548);11;7;13;4;
MQ_01061_FV2_R (MQ549);30;10;12;5;
MQ_03070_FV3_L (MQ55);;
MQ_01061_FV3_R (MQ550);6;7;5;3;
MQ_01070_FV1_R (MQ551);;;;;
MQ_01070_FV2_G (MQ552);;;;;
MQ_01070_FV2_R (MQ553);;;;;
MQ_01080_FV1_L (MQ554);13;13;12;11;
MQ_01080_FV1_R (MQ555);17;16;10;7;
MQ_01080_FV2_G (MQ556);26;18;16;8;
MQ_01080_FV2_L (MQ557);34;41;34;16;
MQ_01080_FV2_R (MQ558);20;14;12;6;
MQ_01080_FV3_L (MQ559);201;142;113;68;
MQ_03070_FV3_R (MQ56);;
MQ_01080_FV3_R (MQ560);25;26;16;10;
MQ_01080_FV4_G (MQ561);2;29;26;9;
