Name  /  Date: 2015_05_20;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_16130_FV2_G (MQ186);322;343;309;339;399;375;414;379;284;229;180;178;82;
MQ_16130_FV2_L (MQ187);264;290;257;246;296;284;278;188;167;127;65;70;40;
MQ_16130_FV2_R (MQ188);54;53;57;45;40;48;54;33;31;27;10;14;8;
MQ_16130_FV3_G (MQ189);89;64;56;81;101;91;46;39;29;19;15;6;7;
MQ_03290_FV5_R (MQ19);60;67;66;89;88;136;136;87;56;42;41;70;31;
MQ_16130_FV3_L (MQ190);11;26;25;17;25;18;18;11;11;8;5;2;0;
MQ_16130_FV3_R (MQ191);301;314;314;319;339;305;281;287;206;168;119;81;44;
MQ_16130_FV4_G (MQ192);220;317;359;351;350;322;341;333;287;215;135;97;48;
MQ_16130_FV4_L (MQ193);44;26;14;20;9;13;21;12;13;4;4;1;3;
MQ_16130_FV4_R (MQ194);;23;29;21;20;13;15;8;1;8;3;5;2;
MQ_03040_FV1_G (MQ195);785;687;722;786;931;949;964;718;505;358;290;192;84;
MQ_03040_FV1_L (MQ196);26;25;29;23;25;18;5;7;4;8;2;1;0;
MQ_03040_FV1_R (MQ197);;;10;9;16;12;11;17;8;6;0;2;0;
MQ_03040_FV2_G (MQ198);24;29;25;32;33;44;27;21;16;6;4;5;2;
MQ_03040_FV2_L (MQ199);24;29;25;32;33;44;27;21;16;6;4;5;2;
MQ_03070_FV1_G (MQ2);;
MQ_03070_FV2_L (MQ20);;
MQ_08054_FV1_R (MQ200);56;80;93;81;65;59;42;44;24;16;9;6;8;
MQ_08054_FV1_G (MQ201);789;859;919;908;1061;1237;1218;1033;747;500;344;413;163;
MQ_03040_FV2_R (MQ202);24;29;25;32;33;44;27;21;16;6;4;5;2;
MQ_08054_FV2_R (MQ203);31;25;23;21;20;56;30;23;8;12;2;0;2;
MQ_08054_FV2_L (MQ204);95;80;63;78;119;125;148;83;18;25;5;3;4;
MQ_03040_FV3_G (MQ205);547;587;608;601;712;914;875;667;428;347;246;158;85;
MQ_03040_FV3_L (MQ206);6;17;7;10;10;5;12;15;3;5;6;3;2;
MQ_03040_FV3_R (MQ207);26;26;27;27;31;42;41;31;20;16;13;8;5;
MQ_08054_FV3_G (MQ208);750;717;752;809;882;988;942;848;590;314;201;183;91;
MQ_08054_FV3_L (MQ209);;23;17;6;5;12;10;6;4;2;0;0;0;
